date,time,rating,review_count
2026-09-02,01:21:33,,
2026-09-03,01:21:50,,
2026-09-04,01:09:33,,
2026-09-05,23:54:12,,
2026-09-07,00:14:16,,
2026-09-08,02:35:29,,
2026-09-09,01:22:10,,
2026-09-10,01:17:27,,
2026-09-11,01:08:29,,
2026-09-12,01:12:16,,
2026-09-13,00:18:56,,
